INF6150-Été-2026;;Nom de l'équipe: ServiceFacile;;;;;;;;Types d'exigences;Priorités;État d'avancement;
TP1-Carnet de produit initial;;Lien d'accès aux exigences:;;;;;;;;Fonctionnalité;Essentiel;Pas commencé;
;;;;;;;;;;Modification;Important;En raffinement;
Liste des exigences de la portée initiale;;;;;USP ou PFC?;;;;;Bogue;Souhaitable;Prêt à développer;
#Exigence;Titre résumé  de l'exigence;Type d'exigence;Priorité;État d'avancement;Taille estimée;Notre contribution à date;Responsable;;;Module;À déterminer;En développement;
#1;Création d'un compte;Fonctionnalité;Essentiel;Pas commencé;3;;Sunny;;;;;En vérification;
#2;Profil utilisateur;Fonctionnalité;Essentiel;Pas commencé;3;;Sunny;;;;;En validation;
#3;Création d'un service;Fonctionnalité;Essentiel;Pas commencé;3;;Sunny;;;;;Terminé;
#4;Recherche de services;Fonctionnalité;Important;Pas commencé;3;;Sunny;;;;;À déterminer;
#5;Page détail du service;Fonctionnalité;Essentiel;Pas commencé;3;;Sunny;;;;;;
#6;Commandes;Fonctionnalité;Essentiel;Pas commencé;5;;Charles;;;;;;
#7;Messagerie client;Fonctionnalité;Souhaitable;Pas commencé;5;;Charles;;;;;;
#8;Notifications;Fonctionnalité;Souhaitable;Pas commencé;3;;Charles;;;;;;
#9;Avis et notes;Fonctionnalité;Souhaitable;Pas commencé;2;;Charles;;;;;;
#10;Authentification;Module;Essentiel;Pas commencé;5;;;;;;;;
#11;Changer le statut d'un service;Module;Souhaitable;Pas commencé;3;;Marie Françoise;;;;;;
#12;Postuler sur un service;Fonctionnalité;Essentiel;Pas commencé;3;;Marie Françoise;;;;;;
#13;Accepter ou refuser une candidature;Fonctionnalité;Essentiel;Pas commencé;3;;Marie Françoise;;;;;;
#14;Tableau de bord utilisateur;Fonctionnalité;Important;Pas commencé;5;;Marie Françoise;;;;;;
#15;Signaler un service inapproprié;Fonctionnalité;Souhaitable;Pas commencé;2;;Marie Françoise;;;;;;
#16;Tableau de bord administrateur;Module;Souhaitable;Pas commencé;5;;;;;;;;
#17;Supprimer un service;Fonctionnalité;Essentiel;Pas commencé;2;;;;;;;;
#18;Catégories de services;Fonctionnalité;Important;Pas commencé;3;;;;;;;;
#19;Historique des candidatures;Fonctionnalité;Important;Pas commencé;3;;;;;;;;
#20;Partager un service;Fonctionnalité;Souhaitable;Pas commencé;2;;Charles;;;;;;
#21;Ajouter un service en favoris;Fonctionnalité;Souhaitable;Pas commencé;2;;;;;;;;
#22;Page d'aide (FAQ);Fonctionnalité;Souhaitable;Pas commencé;1;;;;;;;;
#23;Modifier un service;Fonctionnalité;Essentiel;Pas commencé;2;;;;;;;;
#24;Modifier le profil utilisateur;Fonctionnalité;Essentiel;Pas commencé;3;;;;;;;;
#25;Filtrer les services;Fonctionnalité;Souhaitable;Pas commencé;3;;;;;;;;
;;;;;;;;;;;;;
